

Fri Nov 13 17:06:40 2015

 S: 0-newly connected, 1-reconnected with new ip, 2-still connected.
 -------------------------+----+---+-------------------+------------------
        date & time       | id | S |        MAC        |         IP
 Fri Nov 13 21:52:15 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:53:15 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:54:16 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:55:17 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:56:18 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:57:19 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:58:20 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 21:59:21 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:00:22 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:01:23 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:02:24 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:03:25 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:04:26 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:05:30 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:06:28 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:07:29 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:08:30 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:09:31 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:10:32 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:11:33 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:12:37 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:13:50 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:14:37 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:15:37 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:16:38 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:17:39 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:18:40 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:19:42 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:20:42 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:21:43 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:22:44 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:23:45 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:24:46 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:25:47 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:26:48 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:27:49 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:28:50 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:29:51 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:30:52 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:31:53 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:32:54 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:33:56 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:34:56 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:36:04 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:36:58 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:37:59 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:39:00 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:40:01 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:41:10 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:42:03 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:43:05 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:44:05 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:45:06 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:46:07 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:47:26 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:48:09 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:49:10 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:50:12 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
 Fri Nov 13 22:51:12 2015 |  1 | 2 | 74:da:38:41:e0:e3 |  192.168.0.11
